awardYear,category,gender,fullName,laureateType,gender,birthCountryNow
1951,Physics,male,Ernest Thomas Sinton Walton,Individual,male,Ireland
1951,Physics,male,Sir John Douglas Cockcroft,Individual,male,United Kingdom
1951,Physiology or Medicine,male,Max Theiler,Individual,male,South Africa
1952,Chemistry,male,Archer John Porter Martin,Individual,male,United Kingdom
1952,Chemistry,male,Richard Laurence Millington Synge,Individual,male,United Kingdom
1952,Literature,male,Fran??ois Mauriac,Individual,male,France
1952,Peace,male,Albert Schweitzer,Individual,male,France
1952,Physics,male,Edward Mills Purcell,Individual,male,United States of America
1952,Physics,male,Felix Bloch,Individual,male,Switzerland
1952,Physiology or Medicine,male,Selman Abraham Waksman,Individual,male,Ukraine
1953,Chemistry,male,Hermann Staudinger,Individual,male,Germany
1953,Literature,male,Sir Winston Leonard Spencer Churchill,Individual,male,United Kingdom
1953,Peace,male,George Catlett Marshall,Individual,male,United States of America
1953,Physics,male,Frits Zernike,Individual,male,Netherlands
1953,Physiology or Medicine,male,Fritz Albert Lipmann,Individual,male,Russia
1953,Physiology or Medicine,male,Hans Adolf Krebs,Individual,male,Germany
1954,Chemistry,male,Linus Carl Pauling,Individual,male,United States of America
1954,Literature,male,Ernest Miller Hemingway,Individual,male,United States of America
1954,Peace,,,Organization,,
1954,Physics,male,Max Born,Individual,male,Poland
1954,Physics,male,Walther Bothe,Individual,male,Germany
1954,Physiology or Medicine,male,Frederick Chapman Robbins,Individual,male,United States of America
1954,Physiology or Medicine,male,John Franklin Enders,Individual,male,United States of America
1954,Physiology or Medicine,male,Thomas Huckle Weller,Individual,male,United States of America
1955,Chemistry,male,Vincent du Vigneaud,Individual,male,United States of America
1955,Literature,male,Halld??r Kiljan Laxness,Individual,male,Iceland
1955,Physics,male,Polykarp Kusch,Individual,male,Germany
1955,Physics,male,Willis Eugene Lamb,Individual,male,United States of America
1955,Physiology or Medicine,male,Axel Hugo Theodor Theorell,Individual,male,Sweden
1956,Chemistry,male,Nikolay Nikolaevich Semenov,Individual,male,Russia
1956,Chemistry,male,Sir Cyril Norman Hinshelwood,Individual,male,United Kingdom
1956,Literature,male,Juan Ram??n Jim??nez,Individual,male,Spain
1956,Physics,male,John Bardeen,Individual,male,United States of America
1956,Physics,male,Walter Houser Brattain,Individual,male,China
1956,Physics,male,William Bradford Shockley,Individual,male,United Kingdom
1956,Physiology or Medicine,male,Andr?? Fr??d??ric Cournand,Individual,male,France
1956,Physiology or Medicine,male,Dickinson W. Richards,Individual,male,United States of America
1956,Physiology or Medicine,male,Werner Forssmann,Individual,male,Germany
1957,Chemistry,male,Lord (Alexander R.) Todd,Individual,male,Scotland
1957,Literature,male,Albert Camus,Individual,male,Algeria
1957,Peace,male,Lester Bowles Pearson,Individual,male,Canada
1957,Physics,male,Chen Ning Yang,Individual,male,China
1957,Physics,male,Tsung-Dao (T.D.) Lee,Individual,male,China
1957,Physiology or Medicine,male,Daniel Bovet,Individual,male,Switzerland
1958,Chemistry,male,Frederick Sanger,Individual,male,United Kingdom
1958,Literature,male,Boris Leonidovich Pasternak,Individual,male,Russia
1958,Peace,male,Georges Pire,Individual,male,Belgium
1958,Physics,male,Igor Yevgenyevich Tamm,Individual,male,Russia
1958,Physics,male,Il??ja Mikhailovich Frank,Individual,male,Russia
1958,Physics,male,Pavel Alekseyevich Cherenkov,Individual,male,Russia
1958,Physiology or Medicine,male,Edward Lawrie Tatum,Individual,male,United States of America
1958,Physiology or Medicine,male,George Wells Beadle,Individual,male,United States of America
1958,Physiology or Medicine,male,Joshua Lederberg,Individual,male,United States of America
1959,Chemistry,male,Jaroslav Heyrovsky,Individual,male,Czech Republic
1959,Literature,male,Salvatore Quasimodo,Individual,male,Italy
1959,Peace,male,Philip J. Noel-Baker,Individual,male,United Kingdom
1959,Physics,male,Emilio Gino Segr??,Individual,male,Italy
1959,Physics,male,Owen Chamberlain,Individual,male,United States of America
1959,Physiology or Medicine,male,Arthur Kornberg,Individual,male,United States of America
1959,Physiology or Medicine,male,Severo Ochoa,Individual,male,Spain
1960,Chemistry,male,Willard Frank Libby,Individual,male,United States of America
1960,Literature,male,Saint-John Perse,Individual,male,Guadeloupe Island
1960,Peace,male,Albert John Luthuli,Individual,male,Zimbabwe
1960,Physics,male,Donald Arthur Glaser,Individual,male,United States of America
1960,Physiology or Medicine,male,Peter Brian Medawar,Individual,male,Brazil
1960,Physiology or Medicine,male,Sir Frank Macfarlane Burnet,Individual,male,Australia
1961,Chemistry,male,Melvin Calvin,Individual,male,United States of America
1961,Literature,male,Ivo Andric,Individual,male,Bosnia and Herzegovina
1961,Peace,male,Dag Hjalmar Agne CarlˇHammarskjîld,Individual,male,Sweden
1961,Physics,male,Robert Hofstadter,Individual,male,United States of America
1961,Physics,male,Rudolf Ludwig Mîssbauer,Individual,male,Germany
1961,Physiology or Medicine,male,Georg von B??k??sy,Individual,male,Hungary
1962,Chemistry,male,John Cowdery Kendrew,Individual,male,United Kingdom
1962,Chemistry,male,Max Ferdinand Perutz,Individual,male,Austria
1962,Literature,male,John Steinbeck,Individual,male,United States of America
1962,Peace,male,Linus Carl Pauling,Individual,male,United States of America
1962,Physics,male,Lev Davidovich Landau,Individual,male,Azerbaijan
1962,Physiology or Medicine,male,Francis Harry Compton Crick,Individual,male,United Kingdom
1962,Physiology or Medicine,male,James Dewey Watson,Individual,male,United States of America
1962,Physiology or Medicine,male,Maurice Hugh Frederick Wilkins,Individual,male,New Zealand
1963,Chemistry,male,Giulio Natta,Individual,male,Italy
1963,Chemistry,male,Karl Ziegler,Individual,male,Germany
1963,Literature,male,Giorgos Seferis,Individual,male,Turkey
1963,Peace,,,Organization,,
1963,Peace,,,Organization,,
1963,Physics,male,Eugene Paul Wigner,Individual,male,Hungary
1963,Physics,male,J. Hans D. Jensen,Individual,male,Germany
1963,Physics,female,Maria Goeppert Mayer,Individual,female,Poland
1963,Physiology or Medicine,male,Alan Lloyd Hodgkin,Individual,male,United Kingdom
1963,Physiology or Medicine,male,Andrew Fielding Huxley,Individual,male,United Kingdom
1963,Physiology or Medicine,male,Sir John Carew Eccles,Individual,male,Australia
1964,Chemistry,female,Dorothy Crowfoot Hodgkin,Individual,female,Egypt
1964,Literature,male,Jean-Paul Sartre,Individual,male,France
1964,Peace,male,Martin Luther King Jr.,Individual,male,United States of America
1964,Physics,male,Aleksandr Mikhailovich Prokhorov,Individual,male,Australia
1964,Physics,male,Charles Hard Townes,Individual,male,United States of America
1964,Physics,male,Nicolay Gennadiyevich Basov,Individual,male,Russia
1964,Physiology or Medicine,male,Feodor Lynen,Individual,male,Germany
1964,Physiology or Medicine,male,Konrad Bloch,Individual,male,Poland
1965,Chemistry,male,Robert Burns Woodward,Individual,male,United States of America
1965,Literature,male,Mikhail Aleksandrovich Sholokhov,Individual,male,Russia
1965,Peace,,,Organization,,
1965,Physics,male,Julian Schwinger,Individual,male,United States of America
1965,Physics,male,Richard P. Feynman,Individual,male,United States of America
1965,Physics,male,Sin-Itiro Tomonaga,Individual,male,Japan
1965,Physiology or Medicine,male,Andr?? Lwoff,Individual,male,France
1965,Physiology or Medicine,male,Fran??ois Jacob,Individual,male,France
1965,Physiology or Medicine,male,Jacques Monod,Individual,male,France
1966,Chemistry,male,Robert S. Mulliken,Individual,male,United States of America
1966,Literature,female,Nelly Sachs,Individual,female,Germany
1966,Literature,male,Shmuel Yosef Agnon,Individual,male,Ukraine
1966,Physics,male,Alfred Kastler,Individual,male,France
1966,Physiology or Medicine,male,Charles Brenton Huggins,Individual,male,Canada
1966,Physiology or Medicine,male,Peyton Rous,Individual,male,United States of America
1967,Chemistry,male,George Porter,Individual,male,United Kingdom
1967,Chemistry,male,Manfred Eigen,Individual,male,Germany
1967,Chemistry,male,Ronald George Wreyford Norrish,Individual,male,United Kingdom
1967,Literature,male,Miguel Angel Asturias,Individual,male,Guatemala
1967,Physics,male,Hans Albrecht Bethe,Individual,male,France
1967,Physiology or Medicine,male,George Wald,Individual,male,United States of America
1967,Physiology or Medicine,male,Haldan Keffer Hartline,Individual,male,United States of America
1967,Physiology or Medicine,male,Ragnar Granit,Individual,male,Finland
1968,Chemistry,male,Lars Onsager,Individual,male,Norway
1968,Literature,male,Yasunari Kawabata,Individual,male,Japan
1968,Peace,male,Ren?? Cassin,Individual,male,France
1968,Physics,male,Luis Walter Alvarez,Individual,male,United States of America
1968,Physiology or Medicine,male,Har Gobind Khorana,Individual,male,India
1968,Physiology or Medicine,male,Marshall W. Nirenberg,Individual,male,United States of America
1968,Physiology or Medicine,male,Robert W. Holley,Individual,male,United States of America
1969,Chemistry,male,Derek H. R. Barton,Individual,male,United Kingdom
1969,Chemistry,male,Odd Hassel,Individual,male,Norway
1969,Economic Sciences,male,Jan Tinbergen,Individual,male,Netherlands
1969,Economic Sciences,male,Ragnar Frisch,Individual,male,Norway
1969,Literature,male,Samuel Beckett,Individual,male,Ireland
1969,Peace,,,Organization,,
1969,Physics,male,Murray Gell-Mann,Individual,male,United States of America
1969,Physiology or Medicine,male,Alfred D. Hershey,Individual,male,United States of America
1969,Physiology or Medicine,male,Max Delbr?¨ck,Individual,male,Germany
1969,Physiology or Medicine,male,Salvador E. Luria,Individual,male,Italy
1970,Chemistry,male,Luis F. Leloir,Individual,male,France
1970,Economic Sciences,male,Paul A. Samuelson,Individual,male,United States of America
1970,Literature,male,Aleksandr Isayevich Solzhenitsyn,Individual,male,Russia
1970,Peace,male,Norman Ernest Borlaug,Individual,male,United States of America
1970,Physics,male,Hannes Olof Gîsta AlfvÇn,Individual,male,Sweden
1970,Physics,male,Louis Eugäne FÇlix NÇel,Individual,male,France
1970,Physiology or Medicine,male,Julius Axelrod,Individual,male,United States of America
1970,Physiology or Medicine,male,Sir Bernard Katz,Individual,male,Germany
1970,Physiology or Medicine,male,Ulf von Euler,Individual,male,Sweden
1971,Chemistry,male,Gerhard Herzberg,Individual,male,Germany
1971,Economic Sciences,male,Simon Kuznets,Individual,male,Belarus
1971,Literature,male,Pablo Neruda,Individual,male,Chile
1971,Peace,male,Willy Brandt,Individual,male,Germany
1971,Physics,male,Dennis Gabor,Individual,male,Hungary
