awardYear,category,adjustedPrizePerLaureate
1960,Physiology or Medicine,1332470.5
1961,Chemistry,2878447
1961,Literature,2878447
1961,Peace,2878447
1961,Physics,1439223.5
1961,Physics,1439223.5
1961,Physiology or Medicine,2878447
1962,Chemistry,1418492.5
1962,Chemistry,1418492.5
1962,Literature,2836985
1962,Peace,2836985
1962,Physics,2836985
1962,Physiology or Medicine,945661.6667
1962,Physiology or Medicine,945661.6667
1962,Physiology or Medicine,945661.6667
1963,Chemistry,1419643
1963,Chemistry,1419643
1963,Literature,2839286
1963,Peace,1419643
1963,Peace,1419643
1963,Physics,946428.6667
1963,Physics,946428.6667
1963,Physics,946428.6667
1963,Physiology or Medicine,946428.6667
1963,Physiology or Medicine,946428.6667
1963,Physiology or Medicine,946428.6667
1964,Chemistry,2828039
1964,Literature,2828039
1964,Peace,2828039
1964,Physics,942679.6667
1964,Physics,942679.6667
1964,Physics,942679.6667
1964,Physiology or Medicine,1414019.5
1964,Physiology or Medicine,1414019.5
1965,Chemistry,2782895
1965,Literature,2782895
1965,Peace,2782895
1965,Physics,927631.6667
1965,Physics,927631.6667
1965,Physics,927631.6667
1965,Physiology or Medicine,927631.6667
1965,Physiology or Medicine,927631.6667
1965,Physiology or Medicine,927631.6667
1966,Chemistry,2784653
1966,Literature,1392326.5
1966,Literature,1392326.5
1966,Physics,2784653
1966,Physiology or Medicine,1392326.5
1966,Physiology or Medicine,1392326.5
1967,Chemistry,947867.3333
1967,Chemistry,947867.3333
1967,Chemistry,947867.3333
1967,Literature,2843602
1967,Physics,2843602
1967,Physiology or Medicine,947867.3333
1967,Physiology or Medicine,947867.3333
1967,Physiology or Medicine,947867.3333
1968,Chemistry,3052326
1968,Literature,3052326
1968,Peace,3052326
1968,Physics,3052326
1968,Physiology or Medicine,1017442
1968,Physiology or Medicine,1017442
1968,Physiology or Medicine,1017442
1969,Chemistry,1590780.5
1969,Chemistry,1590780.5
1969,Economic Sciences,1590780.5
1969,Economic Sciences,1590780.5
1969,Literature,3181561
1969,Peace,3181561
1969,Physics,3181561
1969,Physiology or Medicine,1060520.333
1969,Physiology or Medicine,1060520.333
1969,Physiology or Medicine,1060520.333
1970,Chemistry,3177966
1970,Economic Sciences,3177966
1970,Literature,3177966
1970,Peace,3177966
1970,Physics,1588983
1970,Physics,1588983
1970,Physiology or Medicine,1059322
1970,Physiology or Medicine,1059322
1970,Physiology or Medicine,1059322
1971,Chemistry,3321850
1971,Economic Sciences,3321850
1971,Literature,3321850
1971,Peace,3321850
1971,Physics,3321850
1971,Physiology or Medicine,3321850
1972,Chemistry,1115241.667
1972,Chemistry,1115241.667
1972,Chemistry,1115241.667
1972,Economic Sciences,1672862.5
1972,Economic Sciences,1672862.5
1972,Literature,3345725
1972,Physics,1115241.667
1972,Physics,1115241.667
1972,Physics,1115241.667
1972,Physiology or Medicine,1672862.5
1972,Physiology or Medicine,1672862.5
1973,Chemistry,1665941
1973,Chemistry,1665941
1973,Economic Sciences,3331882
1973,Literature,3331882
1973,Peace,1665941
1973,Peace,1665941
1973,Physics,1110627.333
1973,Physics,1110627.333
1973,Physics,1110627.333
1973,Physiology or Medicine,1110627.333
1973,Physiology or Medicine,1110627.333
1973,Physiology or Medicine,1110627.333
1974,Chemistry,3263449
1974,Economic Sciences,1631724.5
1974,Economic Sciences,1631724.5
1974,Literature,1631724.5
1974,Literature,1631724.5
1974,Peace,1631724.5
1974,Peace,1631724.5
1974,Physics,1631724.5
1974,Physics,1631724.5
1974,Physiology or Medicine,1087816.333
1974,Physiology or Medicine,1087816.333
1974,Physiology or Medicine,1087816.333
1975,Chemistry,1702089.5
1975,Chemistry,1702089.5
1975,Economic Sciences,1702089.5
1975,Economic Sciences,1702089.5
1975,Literature,3404179
