firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize,full name
Wilhelm Conrad,Röntgen,DE,DE,male,1901,physics,1,Munich University,Munich,Germany,Mar,78,56,Wilhelm Conrad Röntgen
Hendrik A.,Lorentz,NL,NL,male,1902,physics,2,Leiden University,Leiden,the Netherlands,Jul,75,49,Hendrik A. Lorentz
Pieter,Zeeman,NL,NL,male,1902,physics,2,Amsterdam University,Amsterdam,the Netherlands,May,78,37,Pieter Zeeman
Henri,Becquerel,FR,FR,male,1903,physics,2,École Polytechnique,Paris,France,Dec,56,51,Henri Becquerel
Pierre,Curie,FR,FR,male,1903,physics,4,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,May,47,44,Pierre Curie
Marie,Curie,PL,FR,female,1903,physics,4,,,,Nov,67,36,Marie Curie
Marie,Curie,PL,FR,female,1911,chemistry,1,Sorbonne University,Paris,France,Nov,67,44,Marie Curie
Lord,Rayleigh,GB,GB,male,1904,physics,1,Royal Institution of Great Britain,London,United Kingdom,Nov,77,62,Lord Rayleigh
Philipp,Lenard,SK,DE,male,1905,physics,1,Kiel University,Kiel,Germany,Jun,85,43,Philipp Lenard
J.J.,Thomson,GB,GB,male,1906,physics,1,University of Cambridge,Cambridge,United Kingdom,Dec,84,50,J.J. Thomson
Albert A.,Michelson,PL,US,male,1907,physics,1,University of Chicago,Chicago IL,USA,Dec,79,55,Albert A. Michelson
Gabriel,Lippmann,LU,,male,1908,physics,1,Sorbonne University,Paris,France,Aug,76,63,Gabriel Lippmann
Guglielmo,Marconi,IT,IT,male,1909,physics,2,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,Apr,63,35,Guglielmo Marconi
Ferdinand,Braun,DE,US,male,1909,physics,2,Strasbourg University,Strasbourg,Germany (now France),Jun,68,59,Ferdinand Braun
Johannes Diderik,van der Waals,NL,NL,male,1910,physics,1,Amsterdam University,Amsterdam,the Netherlands,Nov,86,73,Johannes Diderik van der Waals
Wilhelm,Wien,RU,DE,male,1911,physics,1,Würzburg University,Würzburg,Germany,Jan,64,47,Wilhelm Wien
Gustaf,Dalén,SE,SE,male,1912,physics,1,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,Nov,68,43,Gustaf Dalén
Heike,Kamerlingh Onnes,NL,NL,male,1913,physics,1,Leiden University,Leiden,the Netherlands,Sep,73,60,Heike Kamerlingh Onnes
Max,von Laue,DE,DE,male,1914,physics,1,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,Oct,81,35,Max von Laue
William,Bragg,GB,GB,male,1915,physics,2,University College,London,United Kingdom,Jul,80,53,William Bragg
Lawrence,Bragg,AU,GB,male,1915,physics,2,Victoria University,Manchester,United Kingdom,Mar,81,25,Lawrence Bragg
Charles Glover,Barkla,GB,GB,male,1917,physics,1,Edinburgh University,Edinburgh,United Kingdom,Jun,67,40,Charles Glover Barkla
Max,Planck,DE,DE,male,1918,physics,1,Berlin University,Berlin,Germany,Apr,89,60,Max Planck
Johannes,Stark,DE,DE,male,1919,physics,1,Greifswald University,Greifswald,Germany,Apr,83,45,Johannes Stark
Charles Edouard,Guillaume,CH,FR,male,1920,physics,1,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,Feb,77,59,Charles Edouard Guillaume
Albert,Einstein,DE,US,male,1921,physics,1,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Mar,76,42,Albert Einstein
Niels,Bohr,DK,DK,male,1922,physics,1,Copenhagen University,Copenhagen,Denmark,Oct,77,37,Niels Bohr
Robert A.,Millikan,US,US,male,1923,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Mar,85,55,Robert A. Millikan
Manne,Siegbahn,SE,SE,male,1924,physics,1,Uppsala University,Uppsala,Sweden,Dec,92,38,Manne Siegbahn
James,Franck,DE,DE,male,1925,physics,2,Goettingen University,Göttingen,Germany,Aug,82,43,James Franck
Gustav,Hertz,DE,DE,male,1925,physics,2,Halle University,Halle,Germany,Jul,88,38,Gustav Hertz
Jean Baptiste,Perrin,FR,US,male,1926,physics,1,Sorbonne University,Paris,France,Sep,72,56,Jean Baptiste Perrin
Arthur H.,Compton,US,US,male,1927,physics,2,University of Chicago,Chicago IL,USA,Sep,70,35,Arthur H. Compton
C.T.R.,Wilson,GB,GB,male,1927,physics,2,University of Cambridge,Cambridge,United Kingdom,Feb,90,58,C.T.R. Wilson
Owen Willans,Richardson,GB,GB,male,1928,physics,1,London University,London,United Kingdom,Apr,80,49,Owen Willans Richardson
Louis,de Broglie,FR,FR,male,1929,physics,1,Sorbonne University Institut Henri Poincaré,Paris,France,Aug,95,37,Louis de Broglie
Sir Chandrasekhara Venkata,Raman,IN,IN,male,1930,physics,1,Calcutta University,Calcutta,India,Nov,82,42,Sir Chandrasekhara Venkata Raman
Werner,Heisenberg,DE,DE,male,1932,physics,1,Leipzig University,Leipzig,Germany,Dec,75,31,Werner Heisenberg
Erwin,Schrödinger,AT,AT,male,1933,physics,2,Berlin University,Berlin,Germany,Aug,74,46,Erwin Schrödinger
Paul A.M.,Dirac,GB,US,male,1933,physics,2,University of Cambridge,Cambridge,United Kingdom,Aug,82,31,Paul A.M. Dirac
James,Chadwick,GB,GB,male,1935,physics,1,Liverpool University,Liverpool,United Kingdom,Oct,83,44,James Chadwick
Victor F.,Hess,AT,US,male,1936,physics,2,Innsbruck University,Innsbruck,Austria,Jun,81,53,Victor F. Hess
Carl D.,Anderson,US,US,male,1936,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,86,31,Carl D. Anderson
Clinton,Davisson,US,US,male,1937,physics,2,Bell Telephone Laboratories,New York NY,USA,Oct,77,56,Clinton Davisson
George Paget,Thomson,GB,GB,male,1937,physics,2,London University,London,United Kingdom,May,83,45,George Paget Thomson
Enrico,Fermi,IT,US,male,1938,physics,1,Rome University,Rome,Italy,Sep,53,37,Enrico Fermi
Ernest,Lawrence,US,US,male,1939,physics,1,University of California,Berkeley CA,USA,Aug,57,38,Ernest Lawrence
Otto,Stern,PL,US,male,1943,physics,1,Carnegie Institute of Technology,Pittsburgh PA,USA,Feb,81,55,Otto Stern
Isidor Isaac,Rabi,PL,US,male,1944,physics,1,Columbia University,New York NY,USA,Jul,90,46,Isidor Isaac Rabi
Wolfgang,Pauli,AT,CH,male,1945,physics,1,Princeton University,Princeton NJ,USA,Apr,58,45,Wolfgang Pauli
Percy W.,Bridgman,US,US,male,1946,physics,1,Harvard University,Cambridge MA,USA,Apr,79,64,Percy W. Bridgman
Edward V.,Appleton,GB,GB,male,1947,physics,1,Department of Scientific and Industrial Research,London,United Kingdom,Sep,73,55,Edward V. Appleton
Patrick M.S.,Blackett,GB,GB,male,1948,physics,1,Victoria University,Manchester,United Kingdom,Nov,77,51,Patrick M.S. Blackett
Hideki,Yukawa,JP,JP,male,1949,physics,1,Kyoto Imperial University,Kyoto,Japan,Jan,74,42,Hideki Yukawa
Cecil,Powell,GB,IT,male,1950,physics,1,Bristol University,Bristol,United Kingdom,Dec,66,47,Cecil Powell
John,Cockcroft,GB,GB,male,1951,physics,2,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,May,70,54,John Cockcroft
Ernest T.S.,Walton,IE,GB,male,1951,physics,2,Trinity College,Dublin,Ireland,Oct,92,48,Ernest T.S. Walton
Felix,Bloch,CH,CH,male,1952,physics,2,Stanford University,Stanford CA,USA,Oct,78,47,Felix Bloch
E. M.,Purcell,US,US,male,1952,physics,2,Harvard University,Cambridge MA,USA,Aug,85,40,E. M. Purcell
Frits,Zernike,NL,NL,male,1953,physics,1,Groningen University,Groningen,the Netherlands,Jul,78,65,Frits Zernike
Max,Born,PL,DE,male,1954,physics,2,Edinburgh University,Edinburgh,United Kingdom,Dec,88,72,Max Born
Walther,Bothe,DE,DE,male,1954,physics,2,University of Heidelberg,Heidelberg,Germany,Jan,66,63,Walther Bothe
Willis E.,Lamb,US,US,male,1955,physics,2,Stanford University,Stanford CA,USA,Jul,95,42,Willis E. Lamb
Polykarp,Kusch,DE,US,male,1955,physics,2,Columbia University,New York NY,USA,Jan,82,44,Polykarp Kusch
William B.,Shockley,GB,US,male,1956,physics,3,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,Feb,79,46,William B. Shockley
John,Bardeen,US,US,male,1956,physics,3,University of Illinois,Urbana IL,USA,May,83,48,John Bardeen
John,Bardeen,US,US,male,1972,physics,3,University of Illinois,Urbana IL,USA,May,83,64,John Bardeen
Walter H.,Brattain,CN,US,male,1956,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Feb,85,54,Walter H. Brattain
Chen Ning,Yang,CN,,male,1957,physics,2,Institute for Advanced Study,Princeton NJ,USA,Sep,98,35,Chen Ning Yang
Tsung-Dao,Lee,CN,,male,1957,physics,2,Columbia University,New York NY,USA,Nov,94,31,Tsung-Dao Lee
Pavel A.,Cherenkov,RU,RU,male,1958,physics,3,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,54,Pavel A. Cherenkov
Igor Y.,Tamm,RU,RU,male,1958,physics,3,Lomonosov Moscow State University,Moscow,USSR (now Russia),Jul,76,63,Igor Y. Tamm
Emilio,Segrè,IT,US,male,1959,physics,2,University of California,Berkeley CA,USA,Feb,84,54,Emilio Segrè
Owen,Chamberlain,US,US,male,1959,physics,2,University of California,Berkeley CA,USA,Jul,86,39,Owen Chamberlain
Donald A.,Glaser,US,US,male,1960,physics,1,University of California,Berkeley CA,USA,Sep,87,34,Donald A. Glaser
Robert,Hofstadter,US,US,male,1961,physics,2,Stanford University,Stanford CA,USA,Feb,75,46,Robert Hofstadter
Rudolf,Mössbauer,DE,,male,1961,physics,2,Technical University,Munich,Germany,Jan,82,32,Rudolf Mössbauer
Lev,Landau,AZ,RU,male,1962,physics,1,Academy of Sciences,Moscow,USSR (now Russia),Jan,60,54,Lev Landau
Eugene,Wigner,HU,US,male,1963,physics,2,Princeton University,Princeton NJ,USA,Nov,93,61,Eugene Wigner
Maria,Goeppert Mayer,PL,US,female,1963,physics,4,University of California,San Diego CA,USA,Jun,66,57,Maria Goeppert Mayer
J. Hans D.,Jensen,DE,DE,male,1963,physics,4,University of Heidelberg,Heidelberg,Germany,Jun,66,56,J. Hans D. Jensen
Charles H.,Townes,US,US,male,1964,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jul,100,49,Charles H. Townes
Nicolay G.,Basov,RU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Dec,79,42,Nicolay G. Basov
Aleksandr M.,Prokhorov,AU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,48,Aleksandr M. Prokhorov
Sin-Itiro,Tomonaga,JP,JP,male,1965,physics,3,Tokyo University of Education,Tokyo,Japan,Mar,73,59,Sin-Itiro Tomonaga
Julian,Schwinger,US,US,male,1965,physics,3,Harvard University,Cambridge MA,USA,Feb,76,47,Julian Schwinger
Richard P.,Feynman,US,US,male,1965,physics,3,California Institute of Technology (Caltech),Pasadena CA,USA,May,70,47,Richard P. Feynman
Alfred,Kastler,FR,FR,male,1966,physics,1,École Normale Supérieure,Paris,France,May,82,64,Alfred Kastler
Hans,Bethe,FR,US,male,1967,physics,1,Cornell University,Ithaca NY,USA,Jul,99,61,Hans Bethe
Luis,Alvarez,US,US,male,1968,physics,1,University of California,Berkeley CA,USA,Jun,77,57,Luis Alvarez
Murray,Gell-Mann,US,US,male,1969,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,90,40,Murray Gell-Mann
Hannes,Alfvén,SE,SE,male,1970,physics,2,Royal Institute of Technology,Stockholm,Sweden,May,87,62,Hannes Alfvén
Louis,Néel,FR,FR,male,1970,physics,2,University of Grenoble,Grenoble,France,Nov,96,66,Louis Néel
Dennis,Gabor,HU,GB,male,1971,physics,1,Imperial College,London,United Kingdom,Jun,79,71,Dennis Gabor
Leon N.,Cooper,US,,male,1972,physics,3,Brown University,Providence RI,USA,Feb,90,42,Leon N. Cooper
Robert,Schrieffer,US,US,male,1972,physics,3,University of Pennsylvania,Philadelphia PA,USA,May,88,41,Robert Schrieffer
Leo,Esaki,JP,,male,1973,physics,4,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,Mar,95,48,Leo Esaki
Ivar,Giaever,NO,,male,1973,physics,4,General Electric Company,Schenectady NY,USA,Apr,91,44,Ivar Giaever
Brian D.,Josephson,GB,,male,1973,physics,2,University of Cambridge,Cambridge,United Kingdom,Jan,80,33,Brian D. Josephson
Martin,Ryle,GB,GB,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,Sep,66,56,Martin Ryle
Antony,Hewish,GB,,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,May,96,50,Antony Hewish
Aage N.,Bohr,DK,DK,male,1975,physics,3,Niels Bohr Institute,Copenhagen,Denmark,Jun,87,53,Aage N. Bohr
Ben R.,Mottelson,US,,male,1975,physics,3,Nordita,Copenhagen,Denmark,Jul,94,49,Ben R. Mottelson
James,Rainwater,US,US,male,1975,physics,3,Columbia University,New York NY,USA,Dec,69,58,James Rainwater
Burton,Richter,US,US,male,1976,physics,2,Stanford Linear Accelerator Center,Stanford CA,USA,Mar,87,45,Burton Richter
Samuel C.C.,Ting,US,,male,1976,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,84,40,Samuel C.C. Ting
Philip W.,Anderson,US,US,male,1977,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Dec,97,54,Philip W. Anderson
Sir Nevill F.,Mott,GB,GB,male,1977,physics,3,University of Cambridge,Cambridge,United Kingdom,Sep,91,72,Sir Nevill F. Mott
John H.,van Vleck,US,US,male,1977,physics,3,Harvard University,Cambridge MA,USA,Mar,81,78,John H. van Vleck
Pyotr,Kapitsa,RU,RU,male,1978,physics,2,Academy of Sciences,Moscow,USSR (now Russia),Jul,90,84,Pyotr Kapitsa
Arno,Penzias,DE,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Apr,87,45,Arno Penzias
Robert Woodrow,Wilson,US,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Jan,84,42,Robert Woodrow Wilson
Sheldon,Glashow,US,,male,1979,physics,3,Harvard University Lyman Laboratory,Cambridge MA,USA,Dec,88,47,Sheldon Glashow
Abdus,Salam,PK,GB,male,1979,physics,3,International Centre for Theoretical Physics,Trieste,Italy,Jan,70,53,Abdus Salam
Steven,Weinberg,US,,male,1979,physics,3,Harvard University,Cambridge MA,USA,May,87,46,Steven Weinberg
James,Cronin,US,US,male,1980,physics,2,University of Chicago,Chicago IL,USA,Sep,85,49,James Cronin
Val,Fitch,US,US,male,1980,physics,2,Princeton University,Princeton NJ,USA,Mar,92,57,Val Fitch
Nicolaas,Bloembergen,NL,US,male,1981,physics,4,Harvard University,Cambridge MA,USA,Mar,97,61,Nicolaas Bloembergen
Arthur L.,Schawlow,US,US,male,1981,physics,4,Stanford University,Stanford CA,USA,May,78,60,Arthur L. Schawlow
Kai M.,Siegbahn,SE,SE,male,1981,physics,2,Uppsala University,Uppsala,Sweden,Apr,89,63,Kai M. Siegbahn
Kenneth G.,Wilson,US,US,male,1982,physics,1,Cornell University,Ithaca NY,USA,Jun,77,46,Kenneth G. Wilson
Subramanyan,Chandrasekhar,PK,US,male,1983,physics,2,University of Chicago,Chicago IL,USA,Oct,85,73,Subramanyan Chandrasekhar
William A.,Fowler,US,US,male,1983,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,84,72,William A. Fowler
Carlo,Rubbia,IT,,male,1984,physics,2,CERN,Geneva,Switzerland,Mar,86,50,Carlo Rubbia
Simon,van der Meer,NL,CH,male,1984,physics,2,CERN,Geneva,Switzerland,Nov,86,59,Simon van der Meer
Klaus,von Klitzing,PL,,male,1985,physics,1,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,Jun,77,42,Klaus von Klitzing
Ernst,Ruska,DE,DE,male,1986,physics,2,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Dec,82,80,Ernst Ruska
Gerd,Binnig,DE,,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jul,73,39,Gerd Binnig
Heinrich,Rohrer,CH,CH,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jun,80,53,Heinrich Rohrer
J. Georg,Bednorz,DE,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,May,70,37,J. Georg Bednorz
K. Alex,Müller,CH,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Apr,93,60,K. Alex Müller
Leon M.,Lederman,US,US,male,1988,physics,3,Fermi National Accelerator Laboratory,Batavia IL,USA,Jul,96,66,Leon M. Lederman
Melvin,Schwartz,US,US,male,1988,physics,3,Digital Pathways Inc.,Mountain View CA,USA,Nov,74,56,Melvin Schwartz
Jack,Steinberger,DE,,male,1988,physics,3,CERN,Geneva,Switzerland,May,99,67,Jack Steinberger
Norman F.,Ramsey,US,US,male,1989,physics,2,Harvard University,Cambridge MA,USA,Aug,96,74,Norman F. Ramsey
Hans G.,Dehmelt,DE,US,male,1989,physics,4,University of Washington,Seattle WA,USA,Sep,95,67,Hans G. Dehmelt
Wolfgang,Paul,DE,DE,male,1989,physics,4,University of Bonn,Bonn,Germany,Aug,80,76,Wolfgang Paul
Jerome I.,Friedman,US,,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,90,60,Jerome I. Friedman
Henry W.,Kendall,US,US,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Dec,73,64,Henry W. Kendall
Richard E.,Taylor,CA,US,male,1990,physics,3,Stanford University,Stanford CA,USA,Nov,89,61,Richard E. Taylor
Pierre-Gilles,de Gennes,FR,FR,male,1991,physics,1,Collège de France,Paris,France,Oct,75,59,Pierre-Gilles de Gennes
Georges,Charpak,PL,FR,male,1992,physics,1,École Supérieure de Physique et Chimie,Paris,France,Aug,86,68,Georges Charpak
Russell A.,Hulse,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Nov,70,43,Russell A. Hulse
Joseph H.,Taylor Jr.,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Mar,79,52,Joseph H. Taylor Jr.
Bertram N.,Brockhouse,CA,CA,male,1994,physics,2,McMaster University,Hamilton Ontario,Canada,Jul,85,76,Bertram N. Brockhouse
Clifford G.,Shull,US,US,male,1994,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,86,79,Clifford G. Shull
Martin L.,Perl,US,US,male,1995,physics,2,Stanford University,Stanford CA,USA,Jun,87,68,Martin L. Perl
Frederick,Reines,US,US,male,1995,physics,2,University of California,Irvine CA,USA,Mar,80,77,Frederick Reines
David M.,Lee,US,,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jan,89,65,David M. Lee
Douglas D.,Osheroff,US,,male,1996,physics,3,Stanford University,Stanford CA,USA,Aug,75,51,Douglas D. Osheroff
Robert C.,Richardson,US,US,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jun,76,59,Robert C. Richardson
Steven,Chu,US,,male,1997,physics,3,Stanford University,Stanford CA,USA,Feb,72,49,Steven Chu
Claude,Cohen-Tannoudji,DZ,,male,1997,physics,3,Collège de France,Paris,France,Apr,87,64,Claude Cohen-Tannoudji
William D.,Phillips,US,,male,1997,physics,3,National Institute of Standards and Technology,Gaithersburg MD,USA,Nov,72,49,William D. Phillips
Robert B.,Laughlin,US,,male,1998,physics,3,Stanford University,Stanford CA,USA,Nov,70,48,Robert B. Laughlin
Horst L.,Störmer,DE,,male,1998,physics,3,Columbia University,New York NY,USA,Apr,71,49,Horst L. Störmer
Daniel C.,Tsui,CN,,male,1998,physics,3,Princeton University,Princeton NJ,USA,Feb,81,59,Daniel C. Tsui
Gerardus,'t Hooft,NL,,male,1999,physics,2,Utrecht University,Utrecht,the Netherlands,Jul,74,53,Gerardus 't Hooft
Martinus J.G.,Veltman,NL,,male,1999,physics,2,,,,Jun,89,68,Martinus J.G. Veltman
Jacobus H.,van 't Hoff,NL,DE,male,1901,chemistry,1,Berlin University,Berlin,Germany,Aug,59,49,Jacobus H. van 't Hoff
Emil,Fischer,DE,DE,male,1902,chemistry,1,Berlin University,Berlin,Germany,Oct,67,50,Emil Fischer
Svante,Arrhenius,SE,SE,male,1903,chemistry,1,Stockholm University,Stockholm,Sweden,Feb,68,44,Svante Arrhenius
Sir William,Ramsay,GB,GB,male,1904,chemistry,1,University College,London,United Kingdom,Oct,64,52,Sir William Ramsay
Adolf,von Baeyer,DE,DE,male,1905,chemistry,1,Munich University,Munich,Germany,Oct,82,70,Adolf von Baeyer
Henri,Moissan,FR,FR,male,1906,chemistry,1,Sorbonne University,Paris,France,Sep,55,54,Henri Moissan
Eduard,Buchner,DE,RO,male,1907,chemistry,1,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,May,57,47,Eduard Buchner
Ernest,Rutherford,NZ,GB,male,1908,chemistry,1,Victoria University,Manchester,United Kingdom,Aug,66,37,Ernest Rutherford
Wilhelm,Ostwald,LV,DE,male,1909,chemistry,1,Leipzig University,Leipzig,Germany,Sep,79,56,Wilhelm Ostwald
Otto,Wallach,RU,DE,male,1910,chemistry,1,Goettingen University,Göttingen,Germany,Mar,84,63,Otto Wallach
Victor,Grignard,FR,FR,male,1912,chemistry,2,Nancy University,Nancy,France,May,64,41,Victor Grignard
Paul,Sabatier,FR,FR,male,1912,chemistry,2,Toulouse University,Toulouse,France,Nov,87,58,Paul Sabatier
Alfred,Werner,FR,CH,male,1913,chemistry,1,University of Zurich,Zurich,Switzerland,Dec,53,47,Alfred Werner
Theodore W.,Richards,US,US,male,1914,chemistry,1,Harvard University,Cambridge MA,USA,Jan,60,46,Theodore W. Richards
Richard,Willstätter,DE,CH,male,1915,chemistry,1,Munich University,Munich,Germany,Aug,70,43,Richard Willstätter
Fritz,Haber,PL,CH,male,1918,chemistry,1,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,Dec,66,50,Fritz Haber
Walther,Nernst,DE,DE,male,1920,chemistry,1,Berlin University,Berlin,Germany,Jun,77,56,Walther Nernst
Frederick,Soddy,GB,GB,male,1921,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,79,44,Frederick Soddy
Francis W.,Aston,GB,GB,male,1922,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Sep,68,45,Francis W. Aston
Fritz,Pregl,SI,AT,male,1923,chemistry,1,Graz University,Graz,Austria,Sep,61,54,Fritz Pregl
Richard,Zsigmondy,AT,DE,male,1925,chemistry,1,Goettingen University,Göttingen,Germany,Apr,64,60,Richard Zsigmondy
The,Svedberg,SE,SE,male,1926,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,87,42,The Svedberg
Heinrich,Wieland,DE,DE,male,1927,chemistry,1,Munich University,Munich,Germany,Jun,80,50,Heinrich Wieland
Adolf,Windaus,DE,DE,male,1928,chemistry,1,Goettingen University,Göttingen,Germany,Dec,83,52,Adolf Windaus
Arthur,Harden,GB,GB,male,1929,chemistry,2,London University,London,United Kingdom,Oct,75,64,Arthur Harden
Hans,von Euler-Chelpin,DE,SE,male,1929,chemistry,2,Stockholm University,Stockholm,Sweden,Feb,91,56,Hans von Euler-Chelpin
Hans,Fischer,DE,DE,male,1930,chemistry,1,Technische Hochschule (Institute of Technology),Munich,Germany,Jul,64,49,Hans Fischer
Carl,Bosch,DE,DE,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Aug,66,57,Carl Bosch
Friedrich,Bergius,PL,AR,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Oct,65,47,Friedrich Bergius
Irving,Langmuir,US,US,male,1932,chemistry,1,General Electric Company,Schenectady NY,USA,Jan,76,51,Irving Langmuir
Harold C.,Urey,US,US,male,1934,chemistry,1,Columbia University,New York NY,USA,Apr,88,41,Harold C. Urey
Frédéric,Joliot,FR,FR,male,1935,chemistry,2,Institut du Radium,Paris,France,Mar,58,35,Frédéric Joliot
Irène,Joliot-Curie,FR,FR,female,1935,chemistry,2,Institut du Radium,Paris,France,Sep,59,38,Irène Joliot-Curie
Peter,Debye,NL,US,male,1936,chemistry,1,Berlin University,Berlin,Germany,Mar,82,52,Peter Debye
Norman,Haworth,GB,GB,male,1937,chemistry,2,Birmingham University,Birmingham,United Kingdom,Mar,67,54,Norman Haworth
Paul,Karrer,RU,CH,male,1937,chemistry,2,University of Zurich,Zurich,Switzerland,Apr,82,48,Paul Karrer
Richard,Kuhn,AT,DE,male,1938,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,Dec,67,38,Richard Kuhn
Adolf,Butenandt,DE,DE,male,1939,chemistry,2,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Mar,92,36,Adolf Butenandt
Leopold,Ruzicka,HR,CH,male,1939,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Sep,89,52,Leopold Ruzicka
George,de Hevesy,HU,DE,male,1943,chemistry,1,Stockholm University,Stockholm,Sweden,Aug,81,58,George de Hevesy
Otto,Hahn,DE,DE,male,1944,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,Mar,89,65,Otto Hahn
Artturi,Virtanen,FI,FI,male,1945,chemistry,1,University of Helsinki,Helsinki,Finland,Jan,78,50,Artturi Virtanen
James B.,Sumner,US,US,male,1946,chemistry,2,Cornell University,Ithaca NY,USA,Nov,68,59,James B. Sumner
John H.,Northrop,US,US,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Jul,96,55,John H. Northrop
Wendell M.,Stanley,US,ES,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Aug,67,42,Wendell M. Stanley
Sir Robert,Robinson,GB,GB,male,1947,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,89,61,Sir Robert Robinson
Arne,Tiselius,SE,SE,male,1948,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,69,46,Arne Tiselius
William F.,Giauque,CA,US,male,1949,chemistry,1,University of California,Berkeley CA,USA,May,87,54,William F. Giauque
Otto,Diels,DE,DE,male,1950,chemistry,2,Kiel University,Kiel,Germany,Jan,78,74,Otto Diels
Kurt,Alder,PL,DE,male,1950,chemistry,2,Cologne University,Cologne,Germany,Jul,56,48,Kurt Alder
Edwin M.,McMillan,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Sep,84,44,Edwin M. McMillan
Glenn T.,Seaborg,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Apr,87,39,Glenn T. Seaborg
Archer J.P.,Martin,GB,GB,male,1952,chemistry,2,National Institute for Medical Research,London,United Kingdom,Mar,92,42,Archer J.P. Martin
Richard L.M.,Synge,GB,GB,male,1952,chemistry,2,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,Oct,80,38,Richard L.M. Synge
Hermann,Staudinger,DE,DE,male,1953,chemistry,1,University of Freiburg,Breisgau,Germany,Mar,84,72,Hermann Staudinger
Linus,Pauling,US,US,male,1962,peace,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,61,Linus Pauling
Linus,Pauling,US,US,male,1954,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,53,Linus Pauling
