firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize,full name
Andrei,Sakharov,RU,RU,male,1975,peace,1,,,,May,68,54,Andrei Sakharov
Betty,Williams,GB,GB,female,1976,peace,2,,,,May,77,33,Betty Williams
Mairead,Corrigan,GB,,female,1976,peace,2,,,,Jan,76,32,Mairead Corrigan
Anwar,al-Sadat,EG,EG,male,1978,peace,2,,,,Dec,63,60,Anwar al-Sadat
Menachem,Begin,BY,IL,male,1978,peace,2,,,,Aug,79,65,Menachem Begin
Anjezë Gonxhe,Bojaxhiu,MK,IN,female,1979,peace,1,,,,Aug,87,69,Anjezë Gonxhe Bojaxhiu
Adolfo,Pérez Esquivel,AR,,male,1980,peace,1,,,,Nov,89,49,Adolfo Pérez Esquivel
Alva,Myrdal,SE,SE,female,1982,peace,2,,,,Jan,84,80,Alva Myrdal
Alfonso,García Robles,MX,MX,male,1982,peace,2,,,,Mar,80,71,Alfonso García Robles
Lech,Walesa,PL,,male,1983,peace,1,,,,Sep,77,40,Lech Walesa
Desmond,Tutu,ZA,,male,1984,peace,1,,,,Oct,89,53,Desmond Tutu
Elie,Wiesel,RO,US,male,1986,peace,1,,,,Sep,88,58,Elie Wiesel
Oscar,Arias Sánchez,CR,,male,1987,peace,1,,,,Sep,80,47,Oscar Arias Sánchez
Lhamo,Thondup,CN,,male,1989,peace,1,,,,Jul,85,54,Lhamo Thondup
Mikhail,Gorbachev,RU,,male,1990,peace,1,,,,Mar,89,59,Mikhail Gorbachev
Aung San Suu Kyi,,MM,,female,1991,peace,1,,,,Jun,75,46,Aung San Suu Kyi 
Rigoberta,Menchú Tum,GT,,female,1992,peace,1,,,,Jan,61,33,Rigoberta Menchú Tum
Nelson,Mandela,ZA,ZA,male,1993,peace,2,,,,Jul,95,75,Nelson Mandela
F.W.,de Klerk,ZA,,male,1993,peace,2,,,,Mar,84,57,F.W. de Klerk
Yasser,Arafat,EG,FR,male,1994,peace,3,,,,Aug,75,65,Yasser Arafat
Shimon,Peres,BY,IL,male,1994,peace,3,,,,Aug,93,71,Shimon Peres
Yitzhak,Rabin,IL,IL,male,1994,peace,3,,,,Mar,73,72,Yitzhak Rabin
Joseph,Rotblat,PL,GB,male,1995,peace,2,,,,Nov,97,87,Joseph Rotblat
Carlos Filipe Ximenes,Belo,TL,,male,1996,peace,2,,,,Feb,72,48,Carlos Filipe Ximenes Belo
José,Ramos-Horta,TL,,male,1996,peace,2,,,,Dec,71,47,José Ramos-Horta
Jody,Williams,US,,female,1997,peace,2,,,,Oct,70,47,Jody Williams
John,Hume,GB,,male,1998,peace,2,,,,Jan,83,61,John Hume
David,Trimble,GB,,male,1998,peace,2,,,,Oct,76,54,David Trimble
Sully,Prudhomme,FR,FR,male,1901,literature,1,,,,Mar,68,62,Sully Prudhomme
Theodor,Mommsen,DE,DE,male,1902,literature,1,,,,Nov,86,85,Theodor Mommsen
Bjørnstjerne,Bjørnson,NO,FR,male,1903,literature,1,,,,Dec,78,71,Bjørnstjerne Bjørnson
Frédéric,Mistral,FR,FR,male,1904,literature,2,,,,Sep,84,74,Frédéric Mistral
José,Echegaray,ES,ES,male,1904,literature,2,,,,Apr,84,72,José Echegaray
Henryk,Sienkiewicz,PL,CH,male,1905,literature,1,,,,May,70,59,Henryk Sienkiewicz
Giosuè,Carducci,IT,IT,male,1906,literature,1,,,,Jul,72,71,Giosuè Carducci
Rudyard,Kipling,IN,GB,male,1907,literature,1,,,,Dec,71,42,Rudyard Kipling
Rudolf,Eucken,DE,DE,male,1908,literature,1,,,,Jan,80,62,Rudolf Eucken
Selma,Lagerlöf,SE,SE,female,1909,literature,1,,,,Nov,82,51,Selma Lagerlöf
Paul,Heyse,DE,DE,male,1910,literature,1,,,,Mar,84,80,Paul Heyse
Maurice,Maeterlinck,BE,FR,male,1911,literature,1,,,,Aug,87,49,Maurice Maeterlinck
Gerhart,Hauptmann,PL,PL,male,1912,literature,1,,,,Nov,84,50,Gerhart Hauptmann
Rabindranath,Tagore,IN,IN,male,1913,literature,1,,,,May,80,52,Rabindranath Tagore
Romain,Rolland,FR,FR,male,1915,literature,1,,,,Jan,78,49,Romain Rolland
Verner,von Heidenstam,SE,SE,male,1916,literature,1,,,,Jul,81,57,Verner von Heidenstam
Karl,Gjellerup,DK,DE,male,1917,literature,2,,,,Jun,62,60,Karl Gjellerup
Henrik,Pontoppidan,DK,DK,male,1917,literature,2,,,,Jul,86,60,Henrik Pontoppidan
Carl,Spitteler,CH,CH,male,1919,literature,1,,,,Apr,79,74,Carl Spitteler
Knut,Hamsun,NO,NO,male,1920,literature,1,,,,Aug,93,61,Knut Hamsun
Anatole,France,FR,FR,male,1921,literature,1,,,,Apr,80,77,Anatole France
Jacinto,Benavente,ES,ES,male,1922,literature,1,,,,Aug,88,56,Jacinto Benavente
William Butler,Yeats,IE,FR,male,1923,literature,1,,,,Jun,74,58,William Butler Yeats
