awardYear,category,ageReceivePrize
1975,Chemistry,69
1975,Economic Sciences,63
1975,Economic Sciences,65
1975,Literature,79
1975,Peace,54
1975,Physics,53
1975,Physics,49
1975,Physics,58
1975,Physiology or Medicine,37
1975,Physiology or Medicine,61
1975,Physiology or Medicine,41
1976,Chemistry,57
1976,Economic Sciences,64
1976,Literature,61
1976,Peace,33
1976,Peace,32
1976,Physics,45
1976,Physics,40
1976,Physiology or Medicine,51
1976,Physiology or Medicine,53
1977,Chemistry,60
1977,Economic Sciences,78
1977,Economic Sciences,70
1977,Literature,79
1977,Physics,54
1977,Physics,72
1977,Physics,78
1977,Physiology or Medicine,53
1977,Physiology or Medicine,51
1977,Physiology or Medicine,56
1978,Chemistry,58
1978,Economic Sciences,62
1978,Literature,74
1978,Peace,60
1978,Peace,65
1978,Physics,84
1978,Physics,45
1978,Physics,42
1978,Physiology or Medicine,49
1978,Physiology or Medicine,50
1978,Physiology or Medicine,47
1979,Chemistry,67
1979,Chemistry,82
1979,Economic Sciences,77
1979,Economic Sciences,64
1979,Literature,68
1979,Peace,69
1979,Physics,47
1979,Physics,53
1979,Physics,46
1979,Physiology or Medicine,55
1979,Physiology or Medicine,60
1980,Chemistry,62
1980,Chemistry,54
1980,Chemistry,48
1980,Economic Sciences,60
1980,Literature,69
1980,Peace,49
1980,Physics,49
1980,Physics,57
1980,Physiology or Medicine,60
1980,Physiology or Medicine,64
1980,Physiology or Medicine,77
1981,Chemistry,63
1981,Chemistry,44
1981,Economic Sciences,63
1981,Literature,76
1981,Physics,61
1981,Physics,60
1981,Physics,63
1981,Physiology or Medicine,68
1981,Physiology or Medicine,55
1981,Physiology or Medicine,57
1982,Chemistry,56
1982,Economic Sciences,71
1982,Literature,55
1982,Peace,80
1982,Peace,71
1982,Physics,46
1982,Physiology or Medicine,66
1982,Physiology or Medicine,48
1982,Physiology or Medicine,55
1983,Chemistry,68
1983,Economic Sciences,62
1983,Literature,72
1983,Peace,40
1983,Physics,73
1983,Physics,72
1983,Physiology or Medicine,81
1984,Chemistry,63
1984,Economic Sciences,71
1984,Literature,83
1984,Peace,53
1984,Physics,50
1984,Physics,59
1984,Physiology or Medicine,73
1984,Physiology or Medicine,38
1984,Physiology or Medicine,57
1985,Chemistry,68
1985,Chemistry,67
1985,Economic Sciences,67
1985,Literature,72
1985,Physics,42
1985,Physiology or Medicine,44
1985,Physiology or Medicine,45
1986,Chemistry,54
1986,Chemistry,50
1986,Chemistry,57
1986,Economic Sciences,67
1986,Literature,52
1986,Peace,58
1986,Physics,80
1986,Physics,39
1986,Physics,53
1986,Physiology or Medicine,64
1986,Physiology or Medicine,77
1987,Chemistry,68
1987,Chemistry,48
1987,Chemistry,83
1987,Economic Sciences,63
1987,Literature,47
1987,Peace,47
1987,Physics,37
1987,Physics,60
1987,Physiology or Medicine,48
1988,Chemistry,45
1988,Chemistry,51
1988,Chemistry,40
1988,Economic Sciences,77
1988,Literature,77
1988,Physics,66
1988,Physics,56
1988,Physics,67
1988,Physiology or Medicine,64
1988,Physiology or Medicine,70
1988,Physiology or Medicine,83
1989,Chemistry,50
1989,Chemistry,42
1989,Economic Sciences,78
1989,Literature,73
1989,Peace,54
1989,Physics,74
1989,Physics,67
1989,Physics,76
1989,Physiology or Medicine,53
1989,Physiology or Medicine,50
1990,Chemistry,62
1990,Economic Sciences,63
1990,Economic Sciences,67
1990,Economic Sciences,56
1990,Literature,76
1990,Peace,59
1990,Physics,60
1990,Physics,64
1990,Physics,61
1990,Physiology or Medicine,71
1990,Physiology or Medicine,70
1991,Chemistry,58
1991,Economic Sciences,81
1991,Literature,68
1991,Peace,46
1991,Physics,59
1991,Physiology or Medicine,47
1991,Physiology or Medicine,49
1992,Chemistry,69
1992,Economic Sciences,62
1992,Literature,62
1992,Peace,33
1992,Physics,68
1992,Physiology or Medicine,72
1992,Physiology or Medicine,74
1993,Chemistry,49
1993,Chemistry,61
1993,Economic Sciences,66
1993,Economic Sciences,73
1993,Literature,62
1993,Peace,75
1993,Peace,57
1993,Physics,43
1993,Physics,52
1993,Physiology or Medicine,50
1993,Physiology or Medicine,49
1994,Chemistry,67
1994,Economic Sciences,74
1994,Economic Sciences,66
1994,Economic Sciences,64
1994,Literature,59
1994,Peace,65
1994,Peace,71
1994,Peace,72
1994,Physics,76
1994,Physics,79
1994,Physiology or Medicine,53
1994,Physiology or Medicine,69
1995,Chemistry,62
1995,Chemistry,52
1995,Chemistry,68
1995,Economic Sciences,58
1995,Literature,56
1995,Peace,87
1995,Physics,68
1995,Physics,77
1995,Physiology or Medicine,77
1995,Physiology or Medicine,53
1995,Physiology or Medicine,48
1996,Chemistry,63
1996,Chemistry,57
1996,Chemistry,53
1996,Economic Sciences,60
1996,Economic Sciences,82
1996,Literature,73
1996,Peace,48
1996,Peace,47
1996,Physics,65
1996,Physics,51
1996,Physics,59
1996,Physiology or Medicine,56
1996,Physiology or Medicine,52
1997,Chemistry,79
1997,Chemistry,56
1997,Chemistry,79
1997,Economic Sciences,53
1997,Economic Sciences,56
1997,Literature,71
1997,Peace,47
1997,Physics,49
1997,Physics,64
1997,Physics,49
1997,Physiology or Medicine,55
1998,Chemistry,75
1998,Chemistry,73
1998,Economic Sciences,65
1998,Literature,76
1998,Peace,61
1998,Peace,54
1998,Physics,48
1998,Physics,49
1998,Physics,59
1998,Physiology or Medicine,82
1998,Physiology or Medicine,57
1998,Physiology or Medicine,62
1999,Chemistry,53
1999,Economic Sciences,67
1999,Literature,72
1999,Physics,53
1999,Physics,68
1999,Physiology or Medicine,63
2000,Chemistry,64
2000,Chemistry,73
2000,Chemistry,64
2000,Economic Sciences,56
2000,Economic Sciences,63
2000,Literature,60
2000,Peace,75
2000,Physics,70
2000,Physics,72
2000,Physics,77
2000,Physiology or Medicine,77
2000,Physiology or Medicine,75
2000,Physiology or Medicine,71
2001,Chemistry,84
2001,Chemistry,63
2001,Chemistry,60
2001,Economic Sciences,61
2001,Economic Sciences,58
2001,Economic Sciences,58
2001,Literature,69
2001,Peace,63
2001,Physics,40
2001,Physics,44
2001,Physics,50
2001,Physiology or Medicine,62
2001,Physiology or Medicine,58
2001,Physiology or Medicine,52
2002,Chemistry,85
2002,Chemistry,43
2002,Chemistry,64
2002,Economic Sciences,68
2002,Economic Sciences,75
2002,Literature,73
2002,Peace,78
2002,Physics,88
2002,Physics,76
2002,Physics,71
2002,Physiology or Medicine,75
2002,Physiology or Medicine,55
2002,Physiology or Medicine,60
2003,Chemistry,54
2003,Chemistry,47
2003,Economic Sciences,61
2003,Economic Sciences,69
2003,Literature,63
2003,Peace,56
2003,Physics,75
2003,Physics,87
2003,Physics,65
2003,Physiology or Medicine,74
2003,Physiology or Medicine,70
2004,Chemistry,57
2004,Chemistry,67
2004,Chemistry,78
2004,Economic Sciences,61
2004,Economic Sciences,64
2004,Literature,58
2004,Peace,64
2004,Physics,63
2004,Physics,55
2004,Physics,53
2004,Physiology or Medicine,58
2004,Physiology or Medicine,57
2005,Chemistry,75
2005,Chemistry,63
2005,Chemistry,60
2005,Economic Sciences,75
2005,Economic Sciences,84
2005,Literature,75
2005,Peace,63
2005,Physics,80
2005,Physics,71
2005,Physics,64
2005,Physiology or Medicine,54
2005,Physiology or Medicine,68
2006,Chemistry,59
2006,Economic Sciences,73
2006,Literature,54
2006,Peace,66
2006,Physics,60
2006,Physics,61
2006,Physiology or Medicine,47
2006,Physiology or Medicine,46
2007,Chemistry,71
2007,Economic Sciences,90
2007,Economic Sciences,57
2007,Economic Sciences,56
2007,Literature,88
2007,Peace,59
2007,Physics,69
2007,Physics,68
2007,Physiology or Medicine,70
2007,Physiology or Medicine,66
2007,Physiology or Medicine,82
2008,Chemistry,80
2008,Chemistry,61
2008,Chemistry,56
2008,Economic Sciences,55
2008,Literature,68
2008,Peace,71
2008,Physics,87
2008,Physics,64
2008,Physics,68
2008,Physiology or Medicine,72
2008,Physiology or Medicine,61
2008,Physiology or Medicine,76
2009,Chemistry,57
2009,Chemistry,69
2009,Chemistry,70
2009,Economic Sciences,76
2009,Economic Sciences,77
2009,Literature,56
2009,Peace,48
2009,Physics,76
2009,Physics,85
2009,Physics,79
2009,Physiology or Medicine,61
2009,Physiology or Medicine,48
2009,Physiology or Medicine,57
2010,Chemistry,79
2010,Chemistry,75
2010,Chemistry,80
2010,Economic Sciences,70
2010,Economic Sciences,71
2010,Economic Sciences,62
2010,Literature,74
2010,Peace,55
2010,Physics,52
2010,Physics,36
2010,Physiology or Medicine,85
2011,Chemistry,70
2011,Economic Sciences,68
2011,Economic Sciences,69
2011,Literature,80
2011,Peace,73
2011,Peace,39
2011,Peace,32
2011,Physics,52
2011,Physics,44
2011,Physics,42
2011,Physiology or Medicine,54
2011,Physiology or Medicine,70
2011,Physiology or Medicine,68
2012,Chemistry,69
2012,Chemistry,57
2012,Economic Sciences,61
2012,Economic Sciences,89
2012,Literature,57
2012,Physics,68
2012,Physics,68
2012,Physiology or Medicine,79
2012,Physiology or Medicine,50
2013,Chemistry,83
2013,Chemistry,66
2013,Chemistry,73
2013,Economic Sciences,74
2013,Economic Sciences,61
2013,Economic Sciences,67
2013,Literature,82
2013,Physics,81
2013,Physics,84
2013,Physiology or Medicine,63
2013,Physiology or Medicine,65
2013,Physiology or Medicine,58
2014,Chemistry,54
2014,Chemistry,52
2014,Chemistry,61
2014,Economic Sciences,61
2014,Literature,69
2014,Peace,60
2014,Peace,17
2014,Physics,85
2014,Physics,54
2014,Physics,60
2014,Physiology or Medicine,75
2014,Physiology or Medicine,51
2014,Physiology or Medicine,52
2015,Chemistry,77
2015,Chemistry,69
2015,Chemistry,69
2015,Economic Sciences,70
2015,Literature,67
2015,Physics,56
2015,Physics,72
2015,Physiology or Medicine,85
2015,Physiology or Medicine,80
2015,Physiology or Medicine,85
2016,Chemistry,72
2016,Chemistry,74
2016,Chemistry,65
2016,Economic Sciences,68
2016,Economic Sciences,67
2016,Literature,75
2016,Peace,65
2016,Physics,82
2016,Physics,65
2016,Physics,73
2016,Physiology or Medicine,71
2017,Chemistry,75
2017,Chemistry,77
2017,Chemistry,72
2017,Economic Sciences,72
2017,Literature,63
2017,Physics,85
2017,Physics,81
2017,Physics,77
2017,Physiology or Medicine,72
2017,Physiology or Medicine,73
2017,Physiology or Medicine,68
2018,Chemistry,62
2018,Chemistry,77
2018,Chemistry,67
2018,Economic Sciences,77
2018,Economic Sciences,63
2018,Literature,56
2018,Peace,63
2018,Peace,25
2018,Physics,96
2018,Physics,74
2018,Physics,59
2018,Physiology or Medicine,70
2018,Physiology or Medicine,76
2019,Chemistry,97
2019,Chemistry,78
2019,Chemistry,71
2019,Economic Sciences,58
2019,Economic Sciences,47
2019,Economic Sciences,55
2019,Literature,77
2019,Peace,43
2019,Physics,84
2019,Physics,77
2019,Physics,53
2019,Physiology or Medicine,62
2019,Physiology or Medicine,65
2019,Physiology or Medicine,63
2020,Chemistry,52
2020,Chemistry,56
2020,Economic Sciences,72
2020,Economic Sciences,83
2020,Literature,77
2020,Physics,89
2020,Physics,68
2020,Physics,55
2020,Physiology or Medicine,85
2020,Physiology or Medicine,71
2020,Physiology or Medicine,68
2021,Chemistry,53
2021,Chemistry,53
2021,Economic Sciences,65
2021,Economic Sciences,61
2021,Economic Sciences,58
2021,Literature,73
2021,Peace,58
2021,Peace,60
2021,Physics,90
2021,Physics,90
2021,Physics,73
2021,Physiology or Medicine,66
2021,Physiology or Medicine,54
